learning rate,batch size,hid_size,dropout,F1 score,Acc
0.0001,128,200,0.1,0.9400709219858157,0.948488241881299
0.0001,128,200,0.2,0.94279176201373,0.9529675251959686
0.0001,128,200,0.3,0.9412805093738946,0.9518477043673012
0.0001,128,200,0.4,0.9404719971821064,0.9552071668533034
0.0001,128,300,0.1,0.9391059486096446,0.9451287793952968
0.0001,128,300,0.2,0.9355009719031632,0.9451287793952968
0.0001,128,300,0.3,0.9350970017636684,0.9529675251959686
0.0001,128,300,0.4,0.9394741485794952,0.9462486002239642
0.0001,32,200,0.1,0.943994364212751,0.9406494960806272
0.0001,32,200,0.2,0.9420494699646644,0.9596864501679732
0.0001,32,200,0.3,0.9440621139932946,0.9462486002239642
0.0001,32,200,0.4,0.9451208752426328,0.9518477043673012
0.0001,32,300,0.1,0.9441696113074204,0.9462486002239642
0.0001,32,300,0.2,0.9462933615073076,0.954087346024636
0.0001,32,300,0.3,0.9472197705207416,0.9507278835386338
0.0001,32,300,0.4,0.9477585598305684,0.9529675251959686
0.0001,64,200,0.1,0.9460887949260042,0.9518477043673012
0.0001,64,200,0.2,0.9484645252382634,0.9552071668533034
0.0001,64,200,0.3,0.9474801061007958,0.9529675251959686
0.0001,64,200,0.4,0.945717307014452,0.9507278835386338
0.0001,64,300,0.1,0.9384805217697868,0.9496080627099664
0.0001,64,300,0.2,0.9421546081726516,0.9496080627099664
0.0001,64,300,0.3,0.9431898376852506,0.9574468085106383
0.0001,64,300,0.4,0.9463431910749072,0.954087346024636
0.0005,128,200,0.1,0.9432624113475178,0.9473684210526316
0.0005,128,200,0.2,0.9466996117190258,0.9462486002239642
0.0005,128,200,0.3,0.948686298712749,0.9608062709966404
0.0005,128,200,0.4,0.9480381760339344,0.9552071668533034
0.0005,128,300,0.1,0.9383886255924172,0.9462486002239642
0.0005,128,300,0.2,0.9459554927587426,0.9518477043673012
0.0005,128,300,0.3,0.9483304042179262,0.9529675251959686
0.0005,128,300,0.4,0.9483700440528634,0.9563269876819708
0.0005,32,200,0.1,0.9466217414435184,0.9507278835386338
0.0005,32,200,0.2,0.9513742071881608,0.9529675251959686
0.0005,32,200,0.3,0.9520112914608329,0.9518477043673012
0.0005,32,200,0.4,0.9521792835715546,0.9585666293393056
0.0005,32,300,0.1,0.946680790960452,0.9552071668533034
0.0005,32,300,0.2,0.9485190409026798,0.9451287793952968
0.0005,32,300,0.3,0.942751453232341,0.961926091825308
0.0005,32,300,0.4,0.9528684907325684,0.9608062709966404
0.0005,64,200,0.1,0.949128674529132,0.9507278835386338
0.0005,64,200,0.2,0.948631950573698,0.9574468085106383
0.0005,64,200,0.3,0.95098730606488,0.9473684210526316
0.0005,64,200,0.4,0.9519450800915332,0.9552071668533034
0.0005,64,300,0.1,0.9450821119547944,0.9440089585666294
0.0005,64,300,0.2,0.9493737872640676,0.9462486002239642
0.0005,64,300,0.3,0.9488716502115656,0.9406494960806272
0.0005,64,300,0.4,0.9494342291371994,0.9529675251959686
0.0007,128,200,0.1,0.9436769394261424,0.9552071668533034
0.0007,128,200,0.2,0.9464222770532252,0.9451287793952968
0.0007,128,200,0.3,0.9489128513346295,0.954087346024636
0.0007,128,200,0.4,0.9517412055859996,0.9574468085106383
0.0007,128,300,0.1,0.9356027373223372,0.927211646136618
0.0007,128,300,0.2,0.945969884853853,0.9507278835386338
0.0007,128,300,0.3,0.9524145223827988,0.9552071668533034
0.0007,128,300,0.4,0.950854324467148,0.9473684210526316
0.0007,32,200,0.1,0.9437488979016048,0.9507278835386338
0.0007,32,200,0.2,0.948074885199576,0.9585666293393056
0.0007,32,200,0.3,0.9495056497175142,0.954087346024636
0.0007,32,200,0.4,0.9553508150248052,0.9496080627099664
0.0007,32,300,0.1,0.948442723913426,0.9473684210526316
0.0007,32,300,0.2,0.9459411868286668,0.9552071668533034
0.0007,32,300,0.3,0.951593029396233,0.9496080627099664
0.0007,32,300,0.4,0.9478890655361244,0.9608062709966404
0.0007,64,200,0.1,0.941549295774648,0.9473684210526316
0.0007,64,200,0.2,0.9474797321113853,0.9473684210526316
0.0007,64,200,0.3,0.9495590828924164,0.9529675251959686
0.0007,64,200,0.4,0.9516754850088184,0.9630459126539752
0.0007,64,300,0.1,0.94314381270903,0.9462486002239642
0.0007,64,300,0.2,0.9485915492957748,0.9529675251959686
0.0007,64,300,0.3,0.9491525423728814,0.9496080627099664
0.0007,64,300,0.4,0.9530367231638418,0.9563269876819708
0.0009,128,200,0.1,0.9438874230430956,0.9507278835386338
0.0009,128,200,0.2,0.9419469026548672,0.948488241881299
0.0009,128,200,0.3,0.9476090014064698,0.9529675251959686
0.0009,128,200,0.4,0.9487043892120572,0.9585666293393056
0.0009,128,300,0.1,0.9444542408746252,0.9473684210526316
0.0009,128,300,0.2,0.9456406636074832,0.9518477043673012
0.0009,128,300,0.3,0.9489256780556536,0.9585666293393056
0.0009,128,300,0.4,0.9470722700896782,0.9608062709966404
0.0009,32,200,0.1,0.9486725663716814,0.954087346024636
0.0009,32,200,0.2,0.9516754850088184,0.9529675251959686
0.0009,32,200,0.3,0.94562730951962,0.9496080627099664
0.0009,32,200,0.4,0.9515729939908096,0.9529675251959686
0.0009,32,300,0.1,0.9429630937665548,0.9473684210526316
0.0009,32,300,0.2,0.9498941425546932,0.9507278835386338
0.0009,32,300,0.3,0.9511032656663724,0.9406494960806272
0.0009,32,300,0.4,0.9479606188466948,0.9574468085106383
0.0009,64,200,0.1,0.9463087248322148,0.954087346024636
0.0009,64,200,0.2,0.950999469308332,0.954087346024636
0.0009,64,200,0.3,0.9512581383072322,0.9585666293393056
0.0009,64,200,0.4,0.947795414462081,0.9563269876819708
0.0009,64,300,0.1,0.9443175829966626,0.948488241881299
0.0009,64,300,0.2,0.939324252609234,0.9462486002239642
0.0009,64,300,0.3,0.9480176211453744,0.9552071668533034
0.0009,64,300,0.4,0.9518093556928507,0.9518477043673012
0.001,128,200,0.1,0.9472197705207416,0.954087346024636
0.001,128,200,0.2,0.9515076706048315,0.954087346024636
0.001,128,200,0.3,0.9503094606542882,0.9563269876819708
0.001,128,200,0.4,0.9527182574818488,0.9563269876819708
0.001,128,300,0.1,0.9466595782385256,0.9440089585666294
0.001,128,300,0.2,0.943536931818182,0.9552071668533034
0.001,128,300,0.3,0.9464222770532252,0.9507278835386338
0.001,128,300,0.4,0.9501766784452296,0.9552071668533034
0.001,32,200,0.1,0.943836100317909,0.9496080627099664
0.001,32,200,0.2,0.9464254347444228,0.9518477043673012
0.001,32,200,0.3,0.9479277364505846,0.9574468085106383
0.001,32,200,0.4,0.948758584257792,0.9641657334826428
0.001,32,300,0.1,0.9478337754199824,0.954087346024636
0.001,32,300,0.2,0.951004582305252,0.9552071668533034
0.001,32,300,0.3,0.9490569363652388,0.9529675251959686
0.001,32,300,0.4,0.9494807252244324,0.961926091825308
0.001,64,200,0.1,0.9387323943661972,0.9361702127659576
0.001,64,200,0.2,0.9456733321536012,0.954087346024636
0.001,64,200,0.3,0.9482029598308668,0.9552071668533034
0.001,64,200,0.4,0.9473127753303964,0.9574468085106383
0.001,64,300,0.1,0.9421080415273624,0.9529675251959686
0.001,64,300,0.2,0.9485411140583556,0.9563269876819708
0.001,64,300,0.3,0.9491704906459584,0.942889137737962
0.001,64,300,0.4,0.9471272470919986,0.9518477043673012
